Name,Platform,Publisher,Developer,Year,ReleaseJP,ReleaseNA,ReleaseEU
Art of Fighting,pcengine,
Fatal Fury 2,pcengine,
Fatal Fury Special,pcengine,
World Heroes 2,pcengine,
Fatal Fury 2,gameboy,
King of Fighters 95,gameboy,
King of Fighters: Heat of Battle,gameboy,
Money Idol Exchanger,gameboy,
World Heroes 2 Jet,gameboy,
King of Fighters EX NeoBlood,gbadvance,
Metal Slug Advance,gbadvance,
2020 Super Baseball,snes,
Art of Fighting,snes,
Art of Fighting 2,snes,
Fatal Fury,snes,
Fatal Fury 2,snes,
Fatal Fury Special,snes,
Magical Drop II,snes,
Puzzle Bobble,snes,
Samurai Shodown,snes,
Sengoku,snes,
World Heroes,snes,
World Heroes 2,snes,
King Of Fighters Collection: The Orochi Saga,wii,
Metal Slug Anthology,wii,
Samurai Shodown Anthology,wii,
SNK Arcade Classics Volume 1,wii,
Art of Fighting,wii,
Art of Fighting 2,wii,
Baseball Stars 2,wii,
Burning Fight,wii,
Blue's Journey,wii,
Fatal Fury,wii,
Fatal Fury 2,wii,
Fatal Fury 3,wii,
Fatal Fury Special,wii,
Ironclad,wii,
King of Fighters 94,wii,
King of Fighters 95,wii,
King of the Monsters,wii,
Magician Lord,wii,
Metal Slug,wii,
Metal Slug 2,wii,
Neo Turf Masters,wii,
Ninja Combat,wii,
Ninja Commando,wii,
Samurai Shodown,wii,
Samurai Shodown 2,wii,
Samurai Shodown 3,wii,
Street Hoop,wii,
Top Hunter,wii,
World Heroes,wii,
Fatal Fury 2,gg,
Samurai Shodown,gg,
2020 Super Baseball,genesis,
Art of Fighting,genesis,
Fatal Fury,genesis,
Fatal Fury 2,genesis,
Samurai Shodown,genesis,
View Point,genesis,
World Heroes,genesis,
Fatal Fury Special,megacd,
Samurai Shodown,megacd,
Sengoku,megacd,
Fatal Fury 3,saturn,
Fighters History Dynamite,saturn,
Galaxy Fight,saturn,
King of Fighters 95,saturn,
King of Fighters 96,saturn,
King of Fighters 97,saturn,
Magical Drop II,saturn,
Magical Drop III,saturn,
Metal Slug,saturn,
Puzzle Bobble 2,saturn,
Real Bout Fatal Fury,saturn,
Real Bout Fatal Fury Special,saturn,
Samurai Spirits 3,saturn,
Samurai Spirits 4,saturn,
Stakes Winner,saturn,
Stakes Winner 2,saturn,
Twinkle Stars Sprites,saturn,
World Heroes Perfect,saturn,
Waku Waku 7,saturn,
Garou: Mark of the Wolves,dreamcast,
King of Fighters Dream Match 1999,dreamcast,
King of Fighters '99 Evolution,dreamcast,
King of Fighters 2000,dreamcast,
King of Fighters 2001,dreamcast,
King of Fighters 2002,dreamcast,
Last Blade 2 Final Romance,dreamcast,
Twinkle Stars Sprites,dreamcast,
Samurai Shodown,3do,
Double Dragon,ps,
Galaxy Fight,ps,
Last Blade,ps,
King of Fighters '95,ps,
King of Fighters '96,ps,
King of Fighters '97,ps,
King of Fighters '98,ps,
King of Fighters '99,ps,
Metal Slug,ps,
Metal Slug X,ps,
Money Idol Exchanger,ps,
Real Bout Fatal Fury,ps,
Real Bout Special Dominated Mind,ps,
Samurai Shodown & Samurai Shodown II,ps,
Samurai Shodown 3,ps,
Samurai Shodown 4,ps,
View Point,ps,
Voltage Fighter: Gowcaizer,ps,
Art of Fighting Anthology,ps2,
Fatal Fury Battle Archives Vol. 1,ps2,
Fatal Fury Battle Archives Vol. 2,ps2,
Fu'un Super Combo,ps2,
Garou: Mark of the Wolves,ps2,
King of Fighters '94 - Re-Bout,ps2,
King of Fighters Collection: The Orochi Saga,ps2,
King of Fighters '98 - Ultimate Match,ps2,
King of Fighters Collection: The Nests Saga,ps2,
King of Fighters 2000,ps2,
King of Fighters 2001,ps2,
King of Fighters 2002,ps2,
King of Fighters 2002 - Unlimited Match,ps2,
King of Fighters 2003,ps2,
Last Blade Anthology (1 & 2),ps2,
Metal Slug Anthology,ps2,
Metal Slug 3,ps2,
Metal Slug 4,ps2,
Metal Slug 5,ps2,
Samurai Shodown Anthology,ps2,
Samurai Shodown 5,ps2,
SNK Arcade Classics Vol.1,ps2,
SVC Chaos: SNK vs Capcom,ps2,
World Heroes Anthology,ps2,
King of Fighters 2002,xbox,
King of Fighters 2003,xbox,
Metal Slug 3,xbox,
Metal Slug 4,xbox,
Metal Slug 5,xbox,
SVC Chaos: SNK vs Capcom,xbox,
Fatal Fury Special,xbox360,
Garou: Mark of the Wolves,xbox360,
King of Fighters 98 Ultimate match,xbox360,
Metal Slug 3,xbox360,
